participant,trial,accuracy,rt
91,0,1,5383
91,1,1,2549
91,2,1,1311
91,3,0,1703
91,4,1,3471
91,5,1,1447
91,6,1,2663
91,7,1,1655
91,8,1,1004
91,9,1,1177
91,10,1,1039
91,11,1,1030
91,12,1,1631
91,13,1,1214
91,14,1,998
91,15,1,1111
92,0,0,3125
92,1,1,1589
92,2,0,2192
92,3,0,1823
92,4,0,1913
92,5,1,1825
92,6,0,1316
92,7,1,2302
92,8,0,3047
92,9,1,2179
92,10,1,1693
92,11,1,1624
92,12,1,1527
92,13,0,2988
92,14,0,1487
92,15,1,1400
93,0,1,8712
93,1,0,2528
93,2,0,1460
93,3,1,2718
93,4,1,1758
93,5,1,1605
93,6,1,1597
93,7,0,1429
93,8,0,1572
93,9,1,1499
93,10,1,1211
93,11,0,2927
93,12,1,1282
93,13,1,1441
93,14,1,3814
93,15,0,2344
94,0,0,7103
94,1,0,2127
94,2,1,2311
94,3,1,1531
94,4,1,57932
94,5,1,1603
94,6,1,8439
94,7,1,1491
94,8,1,1527
94,9,1,1459
94,10,1,3436
94,11,1,995
94,12,1,1576
94,13,1,1544
94,14,1,1095
94,15,1,17447
95,0,1,2654
95,1,0,1724
95,2,0,1400
95,3,1,872
95,4,1,583
95,5,0,727
95,6,0,575
95,7,0,1353
95,8,1,2145
95,9,1,1212
95,10,1,992
95,11,1,1024
95,12,1,863
95,13,1,777
95,14,1,768
95,15,1,703
96,0,1,2471
96,1,0,2246
96,2,1,1204
96,3,1,1400
96,4,1,1056
96,5,1,2491
96,6,1,1203
96,7,1,1070
96,8,1,1566
96,9,1,1189
96,10,1,1187
96,11,1,1089
96,12,1,1107
96,13,1,1032
96,14,0,1767
96,15,1,945
97,0,1,8066
97,1,1,4345
97,2,0,2497
97,3,1,1663
97,4,1,1357
97,5,1,1116
97,6,1,1148
97,7,1,1432
97,8,1,964
97,9,1,1101
97,10,1,1121
97,11,1,850
97,12,1,963
97,13,1,1213
97,14,1,1231
97,15,1,873
98,0,0,4244
98,1,0,1313
98,2,1,1383
98,3,1,1743
98,4,0,2354
98,5,1,1748
98,6,1,1353
98,7,1,1259
98,8,1,1197
98,9,1,1288
98,10,1,1287
98,11,1,1737
98,12,1,1266
98,13,1,1147
98,14,1,1254
98,15,1,1480
99,0,1,3841
99,1,0,2195
